Sponsor,Website,Logo
Princeton Entrepreneurship Club,http://www.princetoneclub.com/,eclub.png
Department of Electrical Engineering,http://www.ee.princeton.edu/,ele.jpeg
Department of Computer Science,https://www.cs.princeton.edu/ugrad,cos.png
Department of Mechanical Engineering,https://www.princeton.edu/mae/,mae.png
Keller Center,http://kellercenter.princeton.edu/,keller.jpg
Princeton Entrepreneurship Council,https://entrepreneurs.princeton.edu/,pec.png
Major League Hacking,https://mlh.io/,mlh.svg
