Sponsor,Website,Logo
Jane Street,https://www.janestreet.com/,janestreet.jpg
Qualtrics,https://www.qualtrics.com/,qualtrics.png
Twitter,https://twitter.com/,twitter.png
Codecademy,https://www.codecademy.com,codecademy.png
Ripple,https://ripple.com/,ripple.jpg
.TECH,http://get.tech/,TECH.png
Electric Imp,https://electricimp.com/,electricimp.png
